data: x, p, v, rho
left rarefaction, right shock
-0.452895 3 0 1
-0.452795 3 0 1
-0.452695 3 0 1
-0.452595 3 0 1
-0.452495 3 0 1
-0.452395 3 0 1
-0.452295 3 0 1
-0.452195 3 0 1
-0.452095 3 0 1
-0.451995 3 0 1
-0.451895 3 0 1
-0.451795 3 0 1
-0.451695 3 0 1
-0.451595 3 0 1
-0.451495 3 0 1
-0.451395 3 0 1
-0.451295 3 0 1
-0.451195 3 0 1
-0.451095 3 0 1
-0.450995 3 0 1
-0.450895 3 0 1
-0.450795 3 0 1
-0.450695 3 0 1
-0.450595 3 0 1
-0.450495 3 0 1
-0.450395 3 0 1
-0.450295 3 0 1
-0.450195 3 0 1
-0.450095 3 0 1
-0.449995 3 0 1
-0.449895 3 0 1
-0.449795 3 0 1
-0.449695 3 0 1
-0.449595 3 0 1
-0.449495 3 0 1
-0.449395 3 0 1
-0.449295 3 0 1
-0.449195 3 0 1
-0.449095 3 0 1
-0.448995 3 0 1
-0.448895 3 0 1
-0.448795 3 0 1
-0.448695 3 0 1
-0.448595 3 0 1
-0.448495 3 0 1
-0.448395 3 0 1
-0.448295 3 0 1
-0.448195 3 0 1
-0.448095 3 0 1
-0.447995 3 0 1
-0.447895 3 0 1
-0.447795 3 0 1
-0.447695 3 0 1
-0.447595 3 0 1
-0.447495 3 0 1
-0.447395 3 0 1
-0.447295 3 0 1
-0.447195 3 0 1
-0.447095 3 0 1
-0.446995 3 0 1
-0.446895 3 0 1
-0.446795 3 0 1
-0.446695 3 0 1
-0.446595 3 0 1
-0.446495 3 0 1
-0.446395 3 0 1
-0.446295 3 0 1
-0.446195 3 0 1
-0.446095 3 0 1
-0.445995 3 0 1
-0.445895 3 0 1
-0.445795 3 0 1
-0.445695 3 0 1
-0.445595 3 0 1
-0.445495 3 0 1
-0.445395 3 0 1
-0.445295 3 0 1
-0.445195 3 0 1
-0.445095 3 0 1
-0.444994 3 0 1
-0.444894 3 0 1
-0.444794 3 0 1
-0.444694 3 0 1
-0.444594 3 0 1
-0.444494 3 0 1
-0.444394 3 0 1
-0.444294 3 0 1
-0.444194 3 0 1
-0.444094 3 0 1
-0.443994 3 0 1
-0.443894 3 0 1
-0.443794 3 0 1
-0.443694 3 0 1
-0.443594 3 0 1
-0.443494 3 0 1
-0.443394 3 0 1
-0.443294 3 0 1
-0.443194 3 0 1
-0.443094 3 0 1
-0.442994 3 0 1
-0.442894 3 0 1
-0.442794 3 0 1
-0.442694 3 0 1
-0.442594 3 0 1
-0.442494 3 0 1
-0.442394 3 0 1
-0.442294 3 0 1
-0.442194 3 0 1
-0.442094 3 0 1
-0.441994 3 0 1
-0.441894 3 0 1
-0.441794 3 0 1
-0.441694 3 0 1
-0.441594 3 0 1
-0.441494 3 0 1
-0.441394 3 0 1
-0.441294 3 0 1
-0.441194 3 0 1
-0.441094 3 0 1
-0.440994 3 0 1
-0.440894 3 0 1
-0.440794 3 0 1
-0.440694 3 0 1
